Id,Name,CardNumber,Color,Type,Subtypes,Cost,Inkable,Rarity,Strength,Willpower,LoreValue,MoveCost,SetNumber,SetName,Abilities,RulesText,FlavorText,Artist,Image,OwnedNumber
0,Ariel - Sur des jambes humaines,1,Amber,characters,"Storyborn, Héros, Princesse",4,True,Uncommon,3.0,4.0,2.0,,1,Premier Chapitre,,SANS VOIX Ce personnage ne peut pas être pour chanter des chansons.,…,Matthew Robert Davies,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/1_3ee0a2c3b5ad06054c3632f71c8114a93d2964e4.jpg,0
1,Ariel - Chanteuse exceptionnelle,2,Amber,characters,"Storyborn, Héros, Princesse",3,True,Super,2.0,3.0,1.0,,1,Premier Chapitre,Mélomane,"Mélomane 5 (Ce personnage est considéré comme ayant un coût de 5 pour chanter des chansons.) DÉBUTS MUSICAUX Lorsque vous jouez ce personnage, regardez les 4 premières cartes de votre pioche. Vous pouvez révéler une carte chanson parmi elles et l'ajouter à votre main. Remettez les autres sous votre pioche, dans l'ordre de votre choix.",,Alice Pisoni,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/2_c691ae740826bf322bbf7601f0d12bada3d23657.jpg,0
2,Cendrillon - Douce et charmante,3,Amber,characters,"Storyborn, Héros, Princesse",4,True,Uncommon,2.0,5.0,2.0,,1,Premier Chapitre,Mélomane,Mélomane 5 (Ce personnage est considéré comme ayant un coût de 5 pour chanter des chansons.) UN RÊVE MAGNIFIQUE – Choisissez un personnage Princesse et retirez-lui jusqu'à 3 jetons Dommage.,,Javier Salas,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/3_048fd7aebbf4fe069d470353d671266114cdd838.jpg,0
3,Dingo - Mousquetaire,4,Amber,characters,"Dreamborn, Héros, Mousquetaire",5,True,Uncommon,3.0,6.0,1.0,,1,Premier Chapitre,Rempart,"Rempart (Ce personnage peut entrer en jeu épuisé. Lorsqu'il vous défie, un personnage adverse doit, si possible, choisir l'un de vos personnages avec Rempart.) ET DEUX FOIS RIEN! Lorsque vous jouez ce personnage, vous pouvez retirer jusqu'à 2 jetons Dommage de chacun de vos personnages Mousquetaire.","En garde, hyuck!",Jochem Van Gool,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/4_d66481d5adb9559a52033d73d7dc9815aba9ccb9.jpg,0
4,Hadès - Roi de l'Olympe,5,Amber,characters,"Floodborn, Méchant, Roi, Dieu",8,False,Rare,6.0,7.0,1.0,,1,Premier Chapitre,Alter,Alter 6 (Vous pouvez payer 6 pour jouer ce personnage sur l'un de vos personnages Hadès.) SINISTRE COMPLOT Ce personnage a + 1 pour chaque autre personnage Méchant que vous avez en jeu.,"Oh, mais j'y pense, il va me falloir de nouvelles cartes de visite.",Alex Accorsi,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/5_666173f2ebe47e83cc5a2483c3d62d18f022493f.jpg,0
5,Hadès - Seigneur des Enfers,6,Amber,characters,"Storyborn, Méchant, Dieu",4,False,Rare,3.0,2.0,1.0,,1,Premier Chapitre,,"PUITS DES ÂMES Lorsque vous jouez ce personnage, reprenez en main une carte personnage de votre défausse.","La production augmente, les coûts baissent, les rivières sont pleines. Il va falloir songer à s'agrandir.",Randy Bishop,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/6_8eb8c1a2cafaa04a264374dc6a52966023934db4.jpg,0
6,Heihei - Picoreur de bateau,7,Amber,characters,"Storyborn, Allié",1,True,Common,1.0,2.0,1.0,,1,Premier Chapitre,Soutien,"Soutien (Lorsque ce personnage est envoyé à l'aventure, vous pouvez ajouter sa à celle d'un autre personnage au choix pour le reste de ce tour.)","Parfois, les qualités ne sont pas visibles au premier abord. Il arrive qu'elles soient cachées… bien cachées. — Vaiana",Jenna Gray,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/7_75eea5ab3aea1783b25fb8ba9e7384e3be2bd5e7.jpg,0
7,Le fou - Empoté,8,Amber,characters,"Storyborn, Allié",2,True,Uncommon,1.0,2.0,2.0,,1,Premier Chapitre,,"LOYAL Si vous avez un personnage Gaston en jeu, jouer ce personnage coûte 1 de moins.",Tout méchant convenable a besoin d'un bon lèche-botte.,Andrey Chumak,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/8_4ec5bc8c476d32d5074c0ff24095931075878e27.jpg,0
8,Lilo - Faisant un vœu,9,Amber,characters,"Storyborn, Héros",1,False,Rare,1.0,1.0,2.0,,1,Premier Chapitre,,,"Une étoile filaaante! J'l'ai vue la première! Sors, sors vite, je dois faire un vœu!",Dave Beauchene,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/9_eb14ce2901904f3b76cf00c5f1ac101b4f3a0e42.jpg,0
9,Maximus - Cheval du palais,10,Amber,characters,"Storyborn, Allié",5,True,Super,4.0,5.0,1.0,,1,Premier Chapitre,"Rempart, Soutien","Rempart (Ce personnage peut entrer en jeu épuisé. Lorsqu'il vous défie, un personnage adverse doit, si possible, choisir un de vos personnages avec Rempart.) Soutien (Lorsque ce personnage est envoyé à l'aventure, vous pouvez ajouter sa à celle d'un autre personnage au choix pour le reste de ce tour.)",,Brian Weisz,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/10_601af0a70ae31148556cf7e423ea106f06af86a8.jpg,0
10,Maximus - Infatigable poursuivant,11,Amber,characters,"Dreamborn, Allié",3,True,Uncommon,3.0,3.0,1.0,,1,Premier Chapitre,,"COUP DE SABOT Lorsque vous jouez ce personnage, choisissez un personnage qui subit -2 pour le reste de ce tour.","Il poursuit sa proie avec courage, discipline et une certaine classe.",Kendall Hale,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/11_46102a5bb8931346289ff087c1fc50a8ab638ac3.jpg,0
11,Mickey mouse - Véritable ami,12,Amber,characters,"Storyborn, Héros",3,True,Uncommon,3.0,3.0,2.0,,1,Premier Chapitre,,,"Tant qu'il sera là, les nouveaux venus dans le Grand Illuminarium seront toujours accueillis chaleureusement.",Dave Beauchene,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/12_0184206df411a9aaa0348db9000efa14e98f2ca1.jpg,0
12,Minnie - Princesse adorée,13,Amber,characters,"Dreamborn, Princesse",2,True,Common,2.0,3.0,1.0,,1,Premier Chapitre,,,"Où que la princesse aille, les mousquetaires sont présents… Enfin, ils sont sûrement quelque part dans le coin.",Kendall Hale,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/13_39db861431a9a43ced24da0636aaa64cbc640fce.jpg,0
13,Vaiana - de Motunui,14,Amber,characters,"Storyborn, Héros, Princesse",5,True,Rare,1.0,6.0,3.0,,1,Premier Chapitre,,"NOUS ALLONS LE RÉPARER Lorsque ce personnage est envoyé à l'aventure, vous pouvez redresser vos autres personnages Princesse. Elles ne peuvent pas être envoyées à l'aventure pour le reste de ce tour.","Je suis Vaiana de Motunui. Tu vas monter sur mon bateau, traverser la mer et restituer le cœur de Te Fiti.",Nicholas Kole,https://api.lorcana.ravensburger.com/images/fr/set1/cards/367x512/14_6645e6b0c3359002f9f3bb5b5635c7ce9a4c3308.jpg,0
